STATE,Counties/principal cities,Population,"Violentcrime","Murder andnonnegligentmanslaughter",Rape1,Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft"
CA,"Rate per 100,000 inhabitants",,595.3,5.5,35.4,118.3,436.2,"2,770.40",596.5,"1,770.90",402.9
AL,,102492, ,,,,, ,,,
AL,Includes Etowah County,,, ,,,,,,,
AL,City of Gadsden,35204,372,3,24,47,298,"2,495",409,"1,831",255
AL,Total area actually reporting,0.93,522,6,63,49,404,"3,258",648,"2,257",353
AL,Estimated total,1,546,6,64,56,420,"3,422",670,"2,392",360
AL,"Rate per 100,000 inhabitants",,532.7,5.9,62.4,54.6,409.8,"3,338.80",653.7,"2,333.80",351.2
FL,,327771, ,,,,, ,,,
FL,"Includes Alachua, Gilchrist, and Levy Counties",,,,,,,,,,
FL,City of Gainesville,133400,989,5,169,222,593,"5,229",510,"4,287",432
FL,Total area actually reporting,1,2335,17,313,347,"1,658","8,976","1,587","6,663",726
FL,Estimated total,1,2338,17,313,348,"1,660","8,997","1,592","6,677",728
FL,"Rate per 100,000 inhabitants",,713.3,5.2,95.5,106.2,506.5,"2,744.90",485.7,"2,037.10",222.1
GA,,201865, ,,,,, ,,,
GA,Includes Hall County,,,,,,,,,,
GA,City of Gainesville,41368,158,1,20,36,101,"1,280",163,"1,027",90
GA,Total area actually reporting,1,433,5,75,65,288,"3,130",522,"2,290",318
GA,"Rate per 100,000 inhabitants",,214.5,2.5,37.2,32.2,142.7,"1,550.50",258.6,"1,134.40",157.5
PA,,102358, ,,,,, ,,,
PA,Includes Adams County,,,,,,,,,,
PA,City of Gettysburg,7637,30,0,6,2,22,89,19,70,0
PA,Total area actually reporting,1,133,3,32,12,86,635,121,500,14
PA,"Rate per 100,000 inhabitants",,129.9,2.9,31.3,11.7,84,620.4,118.2,488.5,13.7
NY,,123394, ,,,,, ,,,
NY,Includes Warren and Washington Counties,,,,,,,,,,
NY,City of Glens Falls,14403,24,1,6,2,15,150,13,133,4
NY,Total area actually reporting,0.98,167,2,82,12,71,"1,203",138,"1,036",29
NY,Estimated total,1,168,2,82,12,72,"1,233",141,"1,062",30
,"Rate per 100,000 inhabitants",,136.1,1.6,66.5,9.7,58.3,999.2,114.3,860.7,24.3
ND,,102144, ,,,,, ,,,
ND,"Includes Polk County, MN and Grand Forks County, ND",,,,,,,,,,
ND,"City of Grand Forks, ND",57662,148,4,28,21,95,"1,410",216,"1,068",126
ND,Total area actually reporting,1,211,4,53,25,129,"1,968",297,"1,495",176
ND,"Rate per 100,000 inhabitants",,206.6,3.9,51.9,24.5,126.3,"1,926.70",290.8,"1,463.60",172.3
NE,,76086, ,,,,, ,,,
NE,"Includes Hall, Howard, and Merrick Counties",,,,,,,,,,
NE,City of Grand Island,51768,241,1,46,21,173,"1,505",222,"1,185",98
NE,Total area actually reporting,1,277,1,52,22,202,"1,676",253,"1,308",115
NE,"Rate per 100,000 inhabitants",,364.1,1.3,68.3,28.9,265.5,"2,202.80",332.5,"1,719.10",151.1
CO,,152438, ,,,,, ,,,
CO,Includes Mesa County,,,,,,,,,,
CO,City of Grand Junction,62974,275,3,57,17,198,"2,733",291,"2,282",160
CO,Total area actually reporting,0.99,459,4,90,26,339,"3,999",559,"3,177",263
CO,Estimated total,1,463,4,90,27,342,"4,078",564,"3,246",268
CO,"Rate per 100,000 inhabitants",,303.7,2.6,59,17.7,224.4,"2,675.20",370,"2,129.40",175.8
MI,,1075204, ,,,,, ,,,
MI,"Includes Ionia, Kent, Montcalm, and Ottawa Counties",,,,,,,,,,
MI,City of Grand Rapids,200428,1313,5,141,319,848,"3,830",679,"2,881",270
MI,City of Kentwood,52192,193,0,28,37,128,"1,100",183,850,67
MI,Total area actually reporting,1,3551,26,965,511,"2,049","14,806","2,394","11,485",927
MI,Estimated total,1,3558,26,966,512,"2,054","14,823","2,399","11,494",930
MI,"Rate per 100,000 inhabitants",,330.9,2.4,89.8,47.6,191,"1,378.60",223.1,"1,069.00",86.5
OR,,86901, ,,,,, ,,,
OR,Includes Josephine County,,,,,,,,,,
OR,City of Grants Pass,37814,135,3,27,29,76,"1,342",143,"1,019",180
OR,Total area actually reporting,1,236,5,39,37,155,"1,753",251,"1,168",334
OR,"Rate per 100,000 inhabitants",,271.6,5.8,44.9,42.6,178.4,"2,017.20",288.8,"1,344.10",384.3
CO,,314239, ,,,,, ,,,
CO,Includes Weld County,,,,,,,,,,
CO,City of Greeley,107325,424,2,78,64,280,"2,739",418,"2,041",280
CO,Total area actually reporting,0.97,791,6,155,82,548,,812,,591
CO,Estimated total,1,813,6,161,88,558,,822,,610
CO,"Rate per 100,000 inhabitants",,258.7,1.9,51.2,28,177.6,,261.6,,194.1
WI,,322146, ,,,,, ,,,
WI,"Includes Brown, Kewaunee, and Oconto Counties",,, ,,,,,,,
WI,City of Green Bay,105281,483,1,78,56,348,"1,798",250,"1,448",100
WI,Total area actually reporting,1,675,1,152,65,457,"3,715",479,"3,047",189
WI,"Rate per 100,000 inhabitants",,209.5,0.3,47.2,20.2,141.9,"1,153.20",148.7,945.8,58.7
NC,,766708, ,,,,, ,,,
NC,"Includes Guilford, Randolph, and Rockingham Counties3",,,,,,,,,,
NC,City of Greensboro,293298,,37,,536,"1,207","9,831","2,117","7,035",679
NC,City of High Point,112526,,19,,116,517,"3,682",590,"2,812",280
NC,Total area actually reporting,1,3279,66,198,774,"2,241","19,834","4,343","14,103","1,388"
NC,Estimated total,1,3281,66,198,774,"2,243","19,878","4,352","14,136","1,390"
NC,"Rate per 100,000 inhabitants",,427.9,8.6,25.8,101,292.5,"2,592.60",567.6,"1,843.70",181.3
NC,,180583, ,,,,, ,,,
NC,Includes Pitt County3,,,,,,,,,,
NC,City of Greenville,93235,,5,,109,327,"2,707",475,"2,121",111
NC,Total area actually reporting,0.99,749,7,45,146,551,"4,120",858,"3,078",184
NC,Estimated total,1,753,7,45,147,554,"4,169",868,"3,115",186
NC,"Rate per 100,000 inhabitants",,417,3.9,24.9,81.4,306.8,"2,308.60",480.7,"1,725.00",103
MS,,415723,,,,,,,,,
MS,"Includes Hancock, Harrison, Jackson, and Stone Counties",,,,,,,,,,
MS,City of Gulfport,72402,387,4,26,86,271,"3,662",528,"2,844",290
MS,City of Biloxi,46148,149,1,23,52,73,"2,577",619,"1,773",185
MS,Total area actually reporting,0.9,983,17,126,225,615,"13,354","2,417","9,832","1,105"
MS,Estimated total,1,1026,23,129,235,639,"14,720","2,583","10,991","1,146"
MS,"Rate per 100,000 inhabitants",,246.8,5.5,31,56.5,153.7,"3,540.80",621.3,"2,643.80",275.7
MD,,283596,,,,,,,,,
MD,"Includes Washington County, MD and Berkeley and Morgan Counties, WV",, ,,,,,,,,
MD,City of Hagerstown,40384,255,5,27,102,121,"1,052",242,709,101
WV,City of Martinsburg,17428,55,0,10,6,39,540,69,456,15
MD,Total area actually reporting,1,782,10,74,152,546,"4,056",821,"2,995",240
MD,Estimated total,1,785,10,74,152,549,"4,085",824,"3,020",241
MD,"Rate per 100,000 inhabitants",,276.8,3.5,26.1,53.6,193.6,"1,440.40",290.6,"1,064.90",85
LA,,132841,,,,,,,,,
LA,Includes Tangipahoa Parish,, ,,,,,,,,
LA,City of Hammond,20550,299,0,32,57,210,"2,124",622,"1,385",117
LA,Total area actually reporting,0.95,1113,9,87,152,865,"5,197","1,516","3,283",398
LA,Estimated total,1,1128,9,87,152,880,"5,364","1,544","3,420",400
LA,"Rate per 100,000 inhabitants",,849.1,6.8,65.5,114.4,662.4,"4,037.90","1,162.30","2,574.50",301.1
CA,,148619,,,,,,,,,
CA,Includes Kings County,, ,,,,,,,,
CA,City of Hanford,56805,274,2,32,41,199,"1,264",145,945,174
CA,City of Corcoran,21487,75,0,8,11,56,380,88,214,78
CA,Total area actually reporting,1,784,5,81,86,612,"2,701",505,"1,777",419
CA,"Rate per 100,000 inhabitants",,527.5,3.4,54.5,57.9,411.8,"1,817.40",339.8,"1,195.70",281.9
PA,,574520,,,,,,,,,
PA,"Includes Cumberland, Dauphin, and Perry Counties",, ,,,,,,,,
PA,City of Harrisburg,49147,531,15,72,190,254,"1,252",259,806,187
PA,City of Carlisle,19335,18,1,7,7,3,145,8,133,4
PA,Total area actually reporting,1,1494,21,278,332,863,"6,986",946,"5,632",408
PA,"Rate per 100,000 inhabitants",,260,3.7,48.4,57.8,150.2,"1,216.00",164.7,980.3,71
VA,,135460, ,,,,, ,,,
VA,Includes Rockingham County and Harrisonburg City,,,,,,,,,,
VA,City of Harrisonburg,54869,110,4,17,12,77,834,98,711,25
VA,Total area actually reporting,1,185,5,39,14,127,"1,540",246,"1,241",53
VA,"Rate per 100,000 inhabitants",,136.6,3.7,28.8,10.3,93.8,"1,136.90",181.6,916.1,39.1
CT,,1019309,,,,,,,,,
CT,"Includes Hartford, Middlesex, and Tolland Counties",,,,,,,,,,
CT,City of Hartford,123117,1313,21,53,355,884,"4,435",605,"3,089",741
CT,City of East Hartford,50184,117,1,21,61,34,"1,206",185,831,190
CT,City of Middletown,46314,36,1,3,8,24,584,78,431,75
CT,Total area actually reporting,1,2419,29,235,719,"1,436","21,084","2,625","15,876","2,583"
CT,"Rate per 100,000 inhabitants",,237.3,2.8,23.1,70.5,140.9,"2,068.50",257.5,"1,557.50",253.4
SC,,219523,,,,,,,,,
SC,Includes Beaufort and Jasper Counties,, ,,,,,,,,
SC,City of Bluffton,22578,50,1,2,5,42,252,25,206,21
SC,Total area actually reporting,1,884,10,74,119,681,"3,896",667,"2,930",299
SC,"Rate per 100,000 inhabitants",,402.7,4.6,33.7,54.2,310.2,"1,774.80",303.8,"1,334.70",136.2
GA,,80804,,,,,,,,,
GA,Includes Liberty and Long Counties,, ,,,,,,,,
GA,City of Hinesville,33163,147,1,8,33,105,"1,201",218,953,30
GA,Total area actually reporting,0.95,331,5,14,40,272,"1,650",347,"1,229",74
GA,Estimated total,1,335,5,14,41,275,"1,771",353,"1,340",78
GA,"Rate per 100,000 inhabitants",,414.6,6.2,17.3,50.7,340.3,"2,191.70",436.9,"1,658.30",96.5
FL,,146209,,,,,,,,,
FL,Includes Citrus County,, ,,,,,,,,
FL,Total area actually reporting,1,345,2,19,42,282,"2,104",369,"1,505",230
FL,"Rate per 100,000 inhabitants",,236,1.4,13,28.7,192.9,"1,439.00",252.4,"1,029.30",157.3
AR,,98904, ,,,,, ,,,
AR,Includes Garland County,,,,,,,,,,
AR,City of Hot Springs,37006,194,6,29,46,113,"2,592",740,"1,651",201
AR,Total area actually reporting,1,546,6,64,60,416,"4,183","1,406","2,436",341
AR,"Rate per 100,000 inhabitants",,552.1,6.1,64.7,60.7,420.6,"4,229.40","1,421.60","2,463.00",344.8
LA,,208782,,,,,,,,,
LA,Includes Lafourche and Terrebonne Parishes,,,,,,,,,,
LA,City of Houma,33226,158,3,19,30,106,"1,625",173,"1,366",86
LA,City of Thibodaux,14745,68,3,3,12,50,534,44,470,20
LA,Total area actually reporting,0.99,691,13,67,84,527,"6,089",868,"4,920",301
LA,Estimated total,1,702,13,67,84,538,"6,134",878,"4,954",302
LA,"Rate per 100,000 inhabitants",,336.2,6.2,32.1,40.2,257.7,"2,938.00",420.5,"2,372.80",144.6
TX,,7020685,,,,,,,,,
TX,"Includes Austin, Brazoria, Chambers, Fort Bend,2 Galveston, Harris,5 Liberty, Montgomery, and Waller Counties",,,,,,,,,,
TX,City of Houston,2344966,24062,276,"1,261","8,761","13,764","94,033","16,317","65,767","11,949"
TX,City of Sugar Land,89919,82,0,15,45,22,"1,537",186,"1,288",63
TX,City of Baytown,77539,302,2,35,94,171,"2,911",384,"2,028",499
TX,City of Conroe,87544,219,3,50,49,117,"2,183",284,"1,763",136
TX,City of Galveston,50896,265,7,82,70,106,"1,539",176,"1,110",253
TX,Total area actually reporting,1,,440,"3,091","12,404",,"182,598","31,095","129,441","22,062"
TX,Estimated total,1,,440,"3,094","12,408",,"182,869","31,137","129,651","22,081"
TX,"Rate per 100,000 inhabitants",,,6.3,44.1,176.7,,"2,604.70",443.5,"1,846.70",314.5
ID,,148685, ,,,,, ,,,
ID,"Includes Bonneville, Butte, and Jefferson Counties",,,,,,,,,,
ID,City of Idaho Falls,61643,206,0,43,12,151,960,282,597,81
ID,Total area actually reporting,1,318,2,58,15,243,"1,641",453,"1,052",136
ID,"Rate per 100,000 inhabitants",,213.9,1.3,39,10.1,163.4,"1,103.70",304.7,707.5,91.5
IN,,2048700, ,,,,, ,,,
IN,"Includes Boone, Brown, Hamilton, Hancock, Hendricks, Johnson, Madison, Marion, Morgan, Putnam, and Shelby Counties",,,,,,,,,,
IN,City of Indianapolis,877584,11170,162,677,"3,081","7,250","36,237","7,842","23,448","4,947"
IN,City of Carmel,94128,43,0,14,10,19,716,53,603,60
IN,City of Anderson,54925,227,5,78,71,73,"2,340",520,"1,622",198
IN,Total area actually reporting,0.87,12840,185,935,"3,399","8,321","51,316","9,657","35,335","6,324"
IN,Estimated total,1,13142,191,948,"3,417","8,586","54,163","10,175","37,510","6,478"
IN,"Rate per 100,000 inhabitants",,641.5,9.3,46.3,166.8,419.1,"2,643.80",496.7,"1,830.90",316.2
NY,,103272, ,,,,, ,,,
NY,Includes Tompkins County,,,,,,,,,,
NY,City of Ithaca,31145,72,0,9,26,37,815,62,738,15
NY,Total area actually reporting,1,147,0,59,30,58,"1,727",188,"1,509",30
NY,"Rate per 100,000 inhabitants",,142.3,0,57.1,29,56.2,"1,672.30",182,"1,461.20",29
MI,,158748, ,,,,, ,,,
MI,Includes Jackson County,,,,,,,,,,
MI,City of Jackson,32602,366,6,68,43,249,"1,387",195,"1,068",124
MI,Total area actually reporting,1,777,12,202,61,502,"3,474",507,"2,715",252
MI,"Rate per 100,000 inhabitants",,489.5,7.6,127.2,38.4,316.2,"2,188.40",319.4,"1,710.30",158.7
TN,,178110, ,,,,, ,,,
TN,"Includes Chester, Crockett, Gibson, and Madison Counties",,,,,,,,,,
TN,City of Jackson,66848,670,9,29,102,530,"2,866",447,"2,197",222
TN,Total area actually reporting,1,1084,15,58,149,862,"4,566",887,"3,293",386
TN,"Rate per 100,000 inhabitants",,608.6,8.4,32.6,83.7,484,"2,563.60",498,"1,848.90",216.7
FL,,1528141, ,,,,, ,,,
FL,"Includes Baker, Clay, Duval, Nassau, and St. Johns Counties",,,,,,,,,,
FL,City of Jacksonville,903213,5381,110,535,"1,323","3,413","30,112","4,909","22,262","2,941"
FL,Total area actually reporting,1,6916,123,735,"1,524","4,534","40,049","6,631","29,672","3,746"
FL,"Rate per 100,000 inhabitants",,452.6,8,48.1,99.7,296.7,"2,620.80",433.9,"1,941.70",245.1
NC,,194966, ,,,,, ,,,
NC,Includes Onslow County3,,,,,,,,,,
NC,City of Jacksonville3,71715,,3,,45,160,"1,763",337,"1,334",92
NC,Total area actually reporting,1,514,9,49,77,379,"4,335","1,101","3,024",210
NC,"Rate per 100,000 inhabitants",,263.6,4.6,25.1,39.5,194.4,"2,223.50",564.7,"1,551.00",107.7
WI,,162672,,,,,, ,,,
WI,Includes Rock County2,,,,,,,,,,
WI,City of Janesville2,64471,167,1,41,28,97,"1,800",282,"1,454",64
WI,City of Beloit,36746,171,1,38,41,91,979,125,815,39
WI,Total area actually reporting,1,389,2,94,74,219,"3,440",574,"2,728",138
WI,"Rate per 100,000 inhabitants",,239.1,1.2,57.8,45.5,134.6,"2,114.70",352.9,"1,677.00",84.8
MO,,151557, ,,,,, ,,,
MO,"Includes Callaway, Cole, Moniteau, and Osage Counties",,,,,,,,,,
MO,City of Jefferson City2,42856,151,5,37,27,82,"1,277",131,"1,053",93
MO,Total area actually reporting,1,353,6,60,34,253,"2,707",476,"2,028",203
MO,"Rate per 100,000 inhabitants",,232.9,4,39.6,22.4,166.9,"1,786.10",314.1,"1,338.10",133.9
TN,,202463, ,,,,, ,,,
TN,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
TN,City of Johnson City,66795,274,1,24,38,211,"2,622",290,"2,143",189
TN,Total area actually reporting,1,665,5,51,60,549,"4,837",769,"3,666",402
TN,"Rate per 100,000 inhabitants",,328.5,2.5,25.2,29.6,271.2,"2,389.10",379.8,"1,810.70",198.6
PA,,131500, ,,,,, ,,,
PA,Includes Cambria County,, , ,,,,,,,
PA,City of Johnstown,20877,240,5,26,32,177,620,190,406,24
PA,Total area actually reporting,0.98,359,5,44,39,271,"1,558",310,"1,194",54
PA,Estimated total,1,360,5,44,39,272,"1,584",311,"1,219",54
PA,"Rate per 100,000 inhabitants",,273.8,3.8,33.5,29.7,206.8,"1,204.60",236.5,927,41.1
AR,,132617, ,,,,, ,,,
AR,Includes Craighead and Poinsett Counties,,,,,,,,,,
AR,City of Jonesboro,77134,425,4,57,57,307,"3,143","1,150","1,825",168
AR,Total area actually reporting,0.99,653,8,102,68,475,"4,278","1,446","2,587",245
AR,Estimated total,1,664,8,103,69,484,"4,305","1,458","2,597",250
AR,"Rate per 100,000 inhabitants",,500.7,6,77.7,52,365,"3,246.20","1,099.40","1,958.30",188.5
HI,,166102,,,,,,,,,
HI,Includes Maui County,, ,,,,,,,,
HI,Total area actually reporting,1,435,5,114,53,263,"5,084",751,"3,640",693
HI,"Rate per 100,000 inhabitants",,261.9,3,68.6,31.9,158.3,"3,060.80",452.1,"2,191.40",417.2
MI,,265316,,,,,,,,,
MI,Includes Kalamazoo County,, ,,,,,,,,
MI,City of Kalamazoo,76020,1008,7,117,159,725,"3,825",842,"2,646",337
MI,City of Portage,49175,117,0,29,15,73,"1,442",171,"1,196",75
MI,Total area actually reporting,0.99,1562,10,235,225,"1,092","8,952","1,745","6,515",692
MI,Estimated total,1,1572,10,236,226,"1,100","8,978","1,752","6,529",697
MI,"Rate per 100,000 inhabitants",,592.5,3.8,89,85.2,414.6,"3,383.90",660.3,"2,460.80",262.7
IL,,108593,,,,,,,,,
IL,Includes Kankakee County,, ,,,,,,,,
IL,City of Kankakee,26032,230,4,35,47,144,871,143,682,46
IL,Total area actually reporting,1,349,6,65,58,220,"2,017",341,"1,564",112
IL,Estimated total,1,349,6,65,58,220,"2,021",342,"1,567",112
IL,"Rate per 100,000 inhabitants",,321.4,5.5,59.9,53.4,202.6,"1,861.10",314.9,"1,443.00",103.1
WA,,296791,,,,,,,,,
WA,Includes Benton and Franklin Counties,,,,,,,,,,
WA,City of Kennewick,82687,158,3,36,35,84,"2,126",293,"1,680",153
WA,City of Richland,57450,127,0,17,18,92,"1,281",177,"1,039",65
WA,Total area actually reporting,1,597,11,108,98,380,"5,625",936,"4,244",445
WA,"Rate per 100,000 inhabitants",,201.2,3.7,36.4,33,128,"1,895.30",315.4,"1,430.00",149.9
TX,,447912,,,,,,,,,
TX,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
TX,City of Killeen,148007,577,7,117,146,307,"3,336",854,"2,233",249
TX,City of Temple,75706,236,12,70,51,103,"1,940",342,"1,408",190
TX,Total area actually reporting,0.99,1244,24,264,254,702,"8,577","1,794","6,207",576
TX,Estimated total,1,1249,24,264,254,707,"8,631","1,806","6,245",580
TX,"Rate per 100,000 inhabitants",,278.8,5.4,58.9,56.7,157.8,"1,926.90",403.2,"1,394.20",129.5
TN,,305997,,,,,,,,,
TN,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
TN,"City of Kingsport, TN",53465,404,4,21,43,336,"2,801",348,"2,164",289
TN,"City of Bristol, TN",26863,151,0,18,16,117,857,117,656,84
TN,Total area actually reporting,1,1099,14,101,90,894,"7,578","1,231","5,535",812
TN,"Rate per 100,000 inhabitants",,359.2,4.6,33,29.4,292.2,"2,476.50",402.3,"1,808.80",265.4
NY,,175637, ,,,,, ,,,
NY,Includes Ulster County,,,,,,,,,,
NY,City of Kingston,23077,70,0,11,12,47,477,80,372,25
NY,Total area actually reporting,0.92,272,4,90,21,157,"1,929",286,"1,567",76
NY,Estimated total,1,285,4,92,23,166,"2,100",304,"1,715",81
NY,"Rate per 100,000 inhabitants",,162.3,2.3,52.4,13.1,94.5,"1,195.60",173.1,976.4,46.1
TN,,859416, ,,,,, ,,,
TN,"Includes Anderson, Blount, Campbell, Knox, Loudon, Morgan, Roane, and Union Counties",,,,,,,,,,
TN,City of Knoxville,188653,1508,20,132,249,"1,107","8,827","1,374","6,379","1,074"
TN,Total area actually reporting,1,3545,32,352,367,"2,794","19,358","3,318","13,752","2,288"
TN,"Rate per 100,000 inhabitants",,412.5,3.7,41,42.7,325.1,"2,252.50",386.1,"1,600.20",266.2
IN,,82284, ,,,,, ,,,
IN,Includes Howard County,,,,,,,,,,
IN,City of Kokomo,57804,364,4,42,70,248,"1,426",309,"1,036",81
IN,Total area actually reporting,0.99,392,4,44,70,274,"1,559",357,"1,112",90
IN,Estimated total,1,398,4,44,72,278,"1,593",363,"1,136",94
IN,"Rate per 100,000 inhabitants",,483.7,4.9,53.5,87.5,337.9,"1,936.00",441.2,"1,380.60",114.2
WI,,137410, ,,,,, ,,,
WI,"Includes Houston County, MN and La Crosse County, WI",,,,,,,,,,
WI,City of La Crosse,51901,145,1,41,22,81,"1,924",260,"1,600",64
WI,City of Onalaska,18841,6,0,0,0,6,415,22,386,7
WI,Total area actually reporting,1,189,1,48,23,117,"2,732",347,"2,298",87
WI,"Rate per 100,000 inhabitants",,137.5,0.7,34.9,16.7,85.1,"1,988.20",252.5,"1,672.40",63.3
LA,,490305, ,,,,, ,,,
LA,"Includes Acadia, Iberia, Lafayette, St. Martin, and Vermilion Parishes",,,,,,,,,,
LA,City of Lafayette,127592,681,9,21,158,493,"5,882","1,019","4,485",378
LA,Total area actually reporting,0.83,1835,38,101,260,"1,436","12,889","2,852","9,084",953
LA,Estimated total,1,2288,44,117,330,"1,797","16,069","3,540","11,389","1,140"
LA,"Rate per 100,000 inhabitants",,466.6,9,23.9,67.3,366.5,"3,277.30",722,"2,322.80",232.5
IN,,229919, ,,,,, ,,,
IN,"Includes Benton, Carroll, Tippecanoe, and Warren Counties",,,,,,,,,,
IN,City of Lafayette,72904,338,4,34,62,238,"2,623",502,"1,979",142
IN,City of West Lafayette,46906,31,0,8,7,16,401,23,367,11
IN,Total area actually reporting,0.83,419,4,57,75,283,"3,796",691,"2,917",188
IN,Estimated total,1,480,5,60,83,332,"4,270",798,"3,253",219
IN,"Rate per 100,000 inhabitants",,208.8,2.2,26.1,36.1,144.4,"1,857.20",347.1,"1,414.80",95.3
LA,,208685, ,,,,, ,,,
LA,Includes Calcasieu and Cameron Parishes,,,,,,,,,,
LA,City of Lake Charles,77852,575,6,55,134,380,"3,777","1,845","1,638",294
LA,Total area actually reporting,0.97,1137,12,133,179,813,"9,783","3,260","5,798",725
LA,Estimated total,1,1143,12,133,179,819,"9,968","3,289","5,952",727
LA,"Rate per 100,000 inhabitants",,547.7,5.8,63.7,85.8,392.5,"4,776.60","1,576.10","2,852.10",348.4
AZ,,210037, ,,,,, ,,,
AZ,Includes Mohave County,,,,,,,,,,
AZ,City of Lake Havasu City,54678,88,2,20,6,60,830,155,615,60
AZ,City of Kingman,29669,118,1,5,15,97,"1,152",174,898,80
AZ,Total area actually reporting,0.98,507,8,51,72,376,"5,484","1,384","3,642",458
AZ,Estimated total,1,522,8,53,77,384,"5,664","1,422","3,771",471
AZ,"Rate per 100,000 inhabitants",,248.5,3.8,25.2,36.7,182.8,"2,696.70",677,"1,795.40",224.2
FL,,698853,,,,,,,,,
FL,Includes Polk County,, ,,,,,,,,
FL,City of Lakeland,109616,361,8,47,106,200,"3,417",477,"2,737",203
FL,City of Winter Haven,42268,236,0,31,27,178,"1,032",148,797,87
FL,Total area actually reporting,1,2072,24,193,286,"1,569","12,335","2,214","9,131",990
FL,"Rate per 100,000 inhabitants",,296.5,3.4,27.6,40.9,224.5,"1,765.00",316.8,"1,306.60",141.7
PA,,545657, ,,,,, ,,,
PA,Includes Lancaster County,,,,,,,,,,
PA,City of Lancaster,59761,419,2,96,92,229,"1,580",164,"1,332",84
PA,Total area actually reporting,1,966,12,196,166,592,"6,093",750,"5,077",266
PA,"Rate per 100,000 inhabitants",,177,2.2,35.9,30.4,108.5,"1,116.60",137.4,930.4,48.7
MI,,548858,,,,,,,,,
MI,"Includes Clinton, Eaton, Ingham, and Shiawassee Counties",, ,,,,,,,,
MI,City of Lansing,117380,1301,8,149,182,962,"3,557",868,"2,252",437
MI,City of East Lansing,48880,107,1,34,13,59,807,91,536,180
MI,Total area actually reporting,1,2320,15,485,281,"1,539","9,821","1,831","7,014",976
MI,Estimated total,1,2322,15,485,281,"1,541","9,828","1,833","7,018",977
MI,"Rate per 100,000 inhabitants",,423.1,2.7,88.4,51.2,280.8,"1,790.60",334,"1,278.70",178
TX,,277538, ,,,,, ,,,
TX,Includes Webb County,,,,,,,,,,
TX,City of Laredo,264214,890,10,145,141,594,"6,367",692,"5,506",169
TX,Total area actually reporting,1,969,10,156,145,658,"6,662",795,"5,698",169
TX,"Rate per 100,000 inhabitants",,349.1,3.6,56.2,52.2,237.1,"2,400.40",286.4,"2,053.10",60.9
NV,,2236094,,,,,,,,,
NV,Includes Clark County,, ,,,,,,,,
NV,City of Las Vegas Metropolitan Police Department,1644390,9949,120,"1,610","2,690","5,529","46,673","11,968","26,756","7,949"
NV,City of Henderson,309586,583,15,65,217,286,"6,072","1,042","4,349",681
NV,Total area actually reporting,1,,169,"1,854","3,386",,"59,722","14,704","35,073","9,945"
NV,"Rate per 100,000 inhabitants",,,7.6,82.9,151.4,,"2,670.80",657.6,"1,568.50",444.7
OK,,126316, ,,,,, ,,,
OK,Includes Comanche and Cotton Counties,,,,,,,,,,
OK,City of Lawton,93140,840,7,90,122,621,"3,338","1,023","2,011",304
OK,Total area actually reporting,1,878,7,100,122,649,"3,738","1,174","2,209",355
OK,"Rate per 100,000 inhabitants",,695.1,5.5,79.2,96.6,513.8,"2,959.20",929.4,"1,748.80",281
PA,,140510, ,,,,, ,,,
PA,Includes Lebanon County,,,,,,,,,,
PA,City of Lebanon,25816,83,2,12,12,57,469,75,372,22
PA,Total area actually reporting,1,250,4,34,23,189,"1,510",230,"1,232",48
PA,"Rate per 100,000 inhabitants",,177.9,2.8,24.2,16.4,134.5,"1,074.70",163.7,876.8,34.2
WA,,63627,,,,,,,,,
WA,"Includes Nez Perce County, ID and Asotin County, WA",, ,,,,,,,,
WA,"City of Lewiston, ID",32949,48,0,14,6,28,"1,007",140,804,63
WA,Total area actually reporting,1,88,1,24,12,51,"1,553",255,"1,205",93
WA,"Rate per 100,000 inhabitants",,138.3,1.6,37.7,18.9,80.2,"2,440.80",400.8,"1,893.90",146.2
ME,,107743,,,,,,,,,
ME,Includes Androscoggin County,, ,,,,,,,,
ME,City of Lewiston,36170,84,2,15,22,45,598,89,486,23
ME,City of Auburn,23031,50,0,13,6,31,765,56,698,11
ME,Total area actually reporting,1,162,2,40,29,91,"1,650",201,"1,395",54
ME,"Rate per 100,000 inhabitants",,150.4,1.9,37.1,26.9,84.5,"1,531.40",186.6,"1,294.70",50.1
KY,,518324, ,,,,, ,,,
KY,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
KY,City of Lexington,325579,982,22,243,422,295,"10,329","1,523","7,755","1,051"
KY,Total area actually reporting,1,1240,24,306,492,418,"15,043","2,339","11,332","1,372"
KY,Estimated total,1,1240,24,306,492,418,"15,048","2,340","11,335","1,373"
KY,"Rate per 100,000 inhabitants",,239.2,4.6,59,94.9,80.6,"2,903.20",451.5,"2,186.90",264.9
OH,,102857, ,,,,, ,,,
OH,Includes Allen County,,,,,,,,,,
OH,City of Lima,36948,240,3,47,68,122,"1,664",479,"1,087",98
OH,Total area actually reporting,0.94,291,5,58,86,142,"2,855",648,"2,066",141
