TX,Total area actually reporting,1,6329,53,"1,322","1,279","3,675","50,376","7,371","39,508","3,497"
TX,Estimated total,1,6330,53,"1,322","1,279","3,676","50,389","7,374","39,517","3,498"
TX,"Rate per 100,000 inhabitants",,291.4,2.4,60.9,58.9,169.2,"2,319.60",339.4,"1,819.10",161
CA,,893851, ,,,,, ,,,
CA,Includes Kern County,,,,,,,,,,
CA,City of Bakersfield,385609,1895,31,113,811,940,"16,097","4,025","9,295","2,777"
CA,Total area actually reporting,1,5289,101,382,"1,365","3,441","30,268","7,993","16,221","6,054"
CA,"Rate per 100,000 inhabitants",,591.7,11.3,42.7,152.7,385,"3,386.20",894.2,"1,814.70",677.3
MD,,2799376,,,,,,,,,
MD,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",,,,,,,,,,
MD,City of Baltimore,605436,11100,309,361,"5,066","5,364","27,217","6,048","16,794","4,375"
MD,Total area actually reporting,1,20179,373,"1,073","7,234","11,499","69,161","11,192","50,513","7,456"
MD,"Rate per 100,000 inhabitants",,720.8,13.3,38.3,258.4,410.8,"2,470.60",399.8,"1,804.40",266.3
ME,,151827, ,,,,, ,,,
ME,Includes Penobscot County,,,,,,,,,,
ME,City of Bangor,31746,56,4,4,15,33,"1,300",89,"1,151",60
ME,Total area actually reporting,1,112,5,20,29,58,"2,476",275,"2,106",95
ME,"Rate per 100,000 inhabitants",,73.8,3.3,13.2,19.1,38.2,"1,630.80",181.1,"1,387.10",62.6
MA,,213058, ,,,,, ,,,
MA,Includes Barnstable County,,,,,,,,,,
MA,City of Barnstable ,44015,166,1,20,8,137,462,85,363,14
MA,Total area actually reporting,1,677,2,113,28,534,"2,345",502,"1,752",91
MA,"Rate per 100,000 inhabitants",,317.8,0.9,53,13.1,250.6,"1,100.60",235.6,822.3,42.7
LA,,852689, ,,,,, ,,,
LA,"Includes Ascension, Assumption, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",,,,,,,,,,
LA,City of Baton Rouge,224790,2067,79,74,727,"1,187","11,965","2,686","8,329",950
LA,Total area actually reporting,0.99,4507,127,251,"1,061","3,068","30,469","5,899","22,824","1,746"
LA,Estimated total,1,4532,127,251,"1,061","3,093","30,578","5,923","22,906","1,749"
LA,"Rate per 100,000 inhabitants",,531.5,14.9,29.4,124.4,362.7,"3,586.10",694.6,"2,686.30",205.1
MI,,134139, ,,,,, ,,,
MI,Includes Calhoun County,,,,,,,,,,
MI,City of Battle Creek,60615,600,6,85,69,440,"1,958",467,"1,414",77
MI,Total area actually reporting,1,894,7,154,82,651,"3,873",837,"2,862",174
MI,"Rate per 100,000 inhabitants",,666.5,5.2,114.8,61.1,485.3,"2,887.30",624,"2,133.60",129.7
MI,,103965, ,,,,, ,,,
MI,Includes Bay County,,,,,,,,,,
