Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,HI,Hawaii,Honolulu,5.1,4.9,5.3,,,
2017,HI,Hawaii,Honolulu,2.7,2.6,2.8,,,
2017,GA,Georgia,Macon,5.7,5.5,5.9,,,
2017,GA,Georgia,Augusta,6.1,5.9,6.3,,,
2017,HI,Hawaii,Honolulu,6.5,6.3,6.6,,,
2017,GA,Georgia,Savannah,2.9,2.8,2.9,,,
2017,HI,Hawaii,Honolulu,5.4,5.2,5.6,,,
2017,HI,Hawaii,Honolulu,6.1,5.8,6.4,,,
2017,HI,Hawaii,Honolulu,7.2,6.8,7.4,,,
2017,GA,Georgia,Savannah,9,8.7,9.5,,,
2017,HI,Hawaii,Honolulu,5,4.9,5.2,,,
2017,GA,Georgia,Columbus,5.7,5.6,5.9,,,
2017,GA,Georgia,Sandy Springs,6.4,6.3,6.4,,,
2017,ID,Idaho,Boise City,7,6.7,7.3,,,
2017,GA,Georgia,Columbus,5.7,5.5,5.9,,,
2017,AL,Alabama,Mobile,6.5,6.5,6.5,,,
2017,HI,Hawaii,Honolulu,6.3,6.1,6.6,,,
2017,GA,Georgia,Sandy Springs,8.5,8.1,9,,,
2017,GA,Georgia,Johns Creek,8.6,8.3,8.9,,,
2017,HI,Hawaii,Honolulu,4.7,4.5,4.8,,,
2017,ID,Idaho,Boise City,7.7,7.3,8,,,
2017,ID,Idaho,Meridian,6,5.7,6.2,,,
2017,ID,Idaho,Nampa,5.5,5.4,5.7,,,
2017,GA,Georgia,Roswell,7.7,7.3,7.9,,,
2017,GA,Georgia,Columbus,6,5.8,6.5,,,
2017,GA,Georgia,Warner Robins,5.8,5.6,6,,,
2017,HI,Hawaii,Honolulu,7.1,6.8,7.3,,,
2017,GA,Georgia,Savannah,7.8,7.4,8.2,,,
2017,GA,Georgia,Sandy Springs,8.8,8.5,9.3,,,
2017,HI,Hawaii,Honolulu,7,6.7,7.3,,,
2017,GA,Georgia,Columbus,5.9,5.7,6,,,
2017,HI,Hawaii,Honolulu,5.8,5.5,6,,,
2017,GA,Georgia,Columbus,5.7,5.5,5.9,,,
2017,GA,Georgia,Macon,4.7,4.6,4.9,,,
2017,GA,Georgia,Johns Creek,8.5,8.3,8.8,,,
2017,GA,Georgia,Augusta,6.1,5.9,6.4,,,
2017,GA,Georgia,Warner Robins,4.4,4.2,4.6,,,
2017,GA,Georgia,Columbus,5,4.8,5.2,,,
2017,HI,Hawaii,Honolulu,5.8,5.6,6.1,,,
2017,GA,Georgia,Columbus,4.8,4.6,4.9,,,
2017,ID,Idaho,Boise City,7.7,7.4,8.1,,,
2017,GA,Georgia,Savannah,3.3,3.2,3.4,,,
2017,HI,Hawaii,Honolulu,2.3,2.3,2.5,,,
2017,HI,Hawaii,Honolulu,7.1,6.9,7.4,,,
2017,GA,Georgia,Augusta,5.7,5.7,5.7,,,
2017,GA,Georgia,Savannah,4.4,4.3,4.5,,,
2017,HI,Hawaii,Honolulu,5.6,5.4,5.9,,,
2017,HI,Hawaii,Honolulu,5.1,4.9,5.3,,,
2017,HI,Hawaii,Honolulu,5.1,4.9,5.2,,,
2017,GA,Georgia,Macon,5.2,5,5.4,,,
2017,GA,Georgia,Columbus,6.7,6.6,6.9,,,
2017,GA,Georgia,Johns Creek,6.1,6,6.5,,,
2017,ID,Idaho,Boise City,6.1,5.9,6.3,,,
2017,GA,Georgia,Columbus,5.5,5.3,5.8,,,
2017,GA,Georgia,Warner Robins,5.4,5.3,5.6,,,
2017,GA,Georgia,Sandy Springs,7.9,7.8,8.3,,,
2017,HI,Hawaii,Honolulu,5.9,5.7,6.1,,,
2017,HI,Hawaii,Honolulu,4.4,4.3,4.6,,,
2017,HI,Hawaii,Honolulu,6.8,6.4,7.2,,,
2017,HI,Hawaii,Honolulu,6.6,6.3,6.7,,,
2017,HI,Hawaii,Honolulu,6,5.8,6.2,,,
2017,HI,Hawaii,Honolulu,5.6,5.5,5.9,,,
2017,ID,Idaho,Boise City,6.1,6,6.3,,,
2017,GA,Georgia,Augusta,6.7,6.6,6.9,,,
2017,GA,Georgia,Roswell,6.4,6.3,6.4,,,
2017,GA,Georgia,Columbus,7.7,7.4,8,,,
2017,HI,Hawaii,Honolulu,6.6,6.4,6.9,,,
2017,GA,Georgia,Johns Creek,4.8,4.7,5,,,
2017,ID,Idaho,Meridian,5.6,5.3,5.7,,,
2017,HI,Hawaii,Honolulu,5.8,5.5,6.1,,,
2017,ID,Idaho,Boise City,5.1,4.9,5.3,,,
2017,HI,Hawaii,Honolulu,3.8,3.7,3.9,,,
2017,GA,Georgia,Savannah,6.4,6.1,6.5,,,
2017,GA,Georgia,Macon,6.3,6,6.6,,,
2017,GA,Georgia,Roswell,5.1,5,5.2,,,
