Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,IL,Illinois,Chicago,17.7,16.5,18.9,,,
2017,IL,Illinois,Chicago,19,17.9,20.2,,,
2017,IL,Illinois,Peoria,9.2,8.7,9.6,,,
2017,IL,Illinois,Naperville,9.1,8.4,9.8,,,
2017,IL,Illinois,Evanston,7.8,7.7,8,,,
2017,IL,Illinois,Palatine,7.8,7.1,8.4,,,
2017,IL,Illinois,Chicago,18.9,17.6,20.1,,,
2017,IL,Illinois,Joliet,11.1,10.5,11.7,,,
2017,IL,Illinois,Chicago,5.5,5.2,5.9,,,
2017,IL,Illinois,Chicago,18.5,17.2,19.7,,,
2017,IL,Illinois,Chicago,8.9,8.1,9.5,,,
2017,IL,Illinois,Chicago,3.7,3.5,3.9,,,
2017,IL,Illinois,Chicago,21.9,20.6,23.3,,,
2017,IL,Illinois,Joliet,11.6,11,12.1,,,
2017,IL,Illinois,Chicago,8.7,8.1,9.3,,,
2017,IL,Illinois,Chicago,16.4,15.2,17.6,,,
2017,IL,Illinois,Chicago,17.3,15.8,18.7,,,
2017,IL,Illinois,Chicago,9.6,9,10.2,,,
2017,IL,Illinois,Joliet,8.4,8,8.7,,,
2017,IL,Illinois,Chicago,10.5,9.8,11.4,,,
2017,IL,Illinois,Joliet,17.1,15.6,18.4,,,
2017,IL,Illinois,Chicago,10.4,9.7,11.2,,,
2017,IL,Illinois,Chicago,9,8.5,9.5,,,
2017,IL,Illinois,Naperville,7.8,7.2,8.6,,,
2017,IL,Illinois,Chicago,5.8,5.4,6.2,,,
2017,IL,Illinois,Chicago,17.6,16.7,18.6,,,
2017,IL,Illinois,Chicago,17.3,16.2,18.5,,,
2017,IL,Illinois,Chicago,9,8.3,9.8,,,
2017,IL,Illinois,Chicago,5.6,5.2,6.1,,,
2017,IL,Illinois,Chicago,2.2,2,2.4,,,
2017,IL,Illinois,Chicago,18.6,17.2,19.8,,,
2017,IL,Illinois,Chicago,21.1,19.9,22.2,,,
2017,IL,Illinois,Chicago,18.3,17,19.7,,,
2017,IL,Illinois,Chicago,10.9,10,11.8,,,
